TRAC Assigned Identifier for Individual,State,Detention Facility,Nationality,Gender,Book-In Date,Book-Out Date,Reason for Book-Out
94016,Illinois ,MCHENRY COUNTY SHERIFF'S ,JAMAICA ,Male ,23-Aug-12,28-Aug-12,Transferred
94016,Illinois ,CHICAGO HOLD ROOM ,JAMAICA ,Male ,28-Aug-12,28-Aug-12,Transferred
94016,Illinois ,MCHENRY COUNTY SHERIFF'S ,JAMAICA ,Male ,28-Aug-12,6-Sep-12,Transferred
94016,Illinois ,CHICAGO HOLD ROOM ,JAMAICA ,Male ,6-Sep-12,6-Sep-12,Transferred
94016,Illinois ,MCHENRY COUNTY SHERIFF'S ,JAMAICA ,Male ,6-Sep-12,14-Sep-12,Transferred
94016,Illinois ,CHICAGO HOLD ROOM ,JAMAICA ,Male ,14-Sep-12,14-Sep-12,Transferred
94016,Illinois ,MCHENRY COUNTY SHERIFF'S ,JAMAICA ,Male ,14-Sep-12,4-Dec-12,Transferred
94016,Illinois ,CHICAGO HOLD ROOM ,JAMAICA ,Male ,4-Dec-12,4-Dec-12,Transferred
94016,Illinois ,MCHENRY COUNTY SHERIFF'S ,JAMAICA ,Male ,4-Dec-12,17-Dec-12,ATD - Alternatives to Detention
94076,Illinois ,ELGIN POLICE DEPT. JAIL ,PHILIPPINES ,Male ,4-Nov-12,5-Nov-12,Transferred
94076,Illinois ,BROADVIEW SERVICE STAGING ,PHILIPPINES ,Male ,5-Nov-12,5-Nov-12,Transferred
94076,Illinois ,JEFFERSON COUNTY JAIL ,PHILIPPINES ,Male ,5-Nov-12,13-Nov-12,Transferred
94076,Illinois ,CHICAGO HOLD ROOM ,PHILIPPINES ,Male ,13-Nov-12,13-Nov-12,Transferred
94076,Illinois ,MCHENRY COUNTY SHERIFF'S ,PHILIPPINES ,Male ,13-Nov-12,27-Nov-12,Transferred
94076,Illinois ,CHICAGO HOLD ROOM ,PHILIPPINES ,Male ,27-Nov-12,27-Nov-12,Transferred
94076,Illinois ,MCHENRY COUNTY SHERIFF'S ,PHILIPPINES ,Male ,27-Nov-12,18-Dec-12,Transferred
94076,Illinois ,BROADVIEW SERVICE STAGING ,PHILIPPINES ,Male ,18-Dec-12,18-Dec-12,Removed
94094,Illinois ,JEFFERSON COUNTY JAIL ,VIETNAM ,Male ,12-Mar-12,27-Mar-12,Transferred
94094,Illinois ,BROADVIEW SERVICE STAGING ,VIETNAM ,Male ,27-Mar-12,27-Mar-12,Transferred
94094,Wisconsin ,KENOSHA COUNTY JAIL ,VIETNAM ,Male ,27-Mar-12,18-Apr-12,Transferred
94094,Illinois ,CHICAGO HOLD ROOM ,VIETNAM ,Male ,18-Apr-12,18-Apr-12,Transferred
94094,Wisconsin ,KENOSHA COUNTY JAIL ,VIETNAM ,Male ,18-Apr-12,16-May-12,Transferred
94094,Illinois ,BROADVIEW SERVICE STAGING ,VIETNAM ,Male ,16-May-12,16-May-12,Transferred
94094,Illinois ,CHICAGO HOLD ROOM ,VIETNAM ,Male ,16-May-12,16-May-12,Transferred
94094,Wisconsin ,KENOSHA COUNTY JAIL ,VIETNAM ,Male ,16-May-12,23-May-12,Transferred
94094,Illinois ,CHICAGO HOLD ROOM ,VIETNAM ,Male ,23-May-12,23-May-12,Transferred
94094,Wisconsin ,KENOSHA COUNTY JAIL ,VIETNAM ,Male ,23-May-12,24-May-12,Transferred
94094,Illinois ,BROADVIEW SERVICE STAGING ,VIETNAM ,Male ,24-May-12,24-May-12,Transferred
94094,Illinois ,JEFFERSON COUNTY JAIL ,VIETNAM ,Male ,24-May-12,5-Nov-12,Transferred
94094,Kentucky ,GRAYSON COUNTY DET. CENTER ,VIETNAM ,Male ,5-Nov-12,6-Nov-12,Transferred
94094,Kentucky ,BOONE COUNTY JAIL ,VIETNAM ,Male ,6-Nov-12,15-Nov-12,Transferred
94094,Illinois ,JEFFERSON COUNTY JAIL ,VIETNAM ,Male ,15-Nov-12,4-Dec-12,Transferred
94094,Illinois ,MCHENRY COUNTY SHERIFF'S ,VIETNAM ,Male ,4-Dec-12,11-Dec-12,Transferred
94094,Illinois ,BROADVIEW SERVICE STAGING ,VIETNAM ,Male ,11-Dec-12,11-Dec-12,Removed
94134,Illinois ,CHICAGO HOLD ROOM ,DOMINICAN REPUBLIC ,Male ,31-Aug-12,31-Aug-12,Transferred
94134,Wisconsin ,"DODGE COUNTY JAIL, JUNEAU ",DOMINICAN REPUBLIC ,Male ,31-Aug-12,5-Sep-12,Transferred
94134,Illinois ,BROADVIEW SERVICE STAGING ,DOMINICAN REPUBLIC ,Male ,5-Sep-12,5-Sep-12,Transferred
94134,Wisconsin ,"DODGE COUNTY JAIL, JUNEAU ",DOMINICAN REPUBLIC ,Male ,5-Sep-12,7-Dec-12,Transferred
94134,Louisiana ,JENA/LASALLE DETENTION FACILITY ,DOMINICAN REPUBLIC ,Male ,7-Dec-12,13-Dec-12,Removed
94506,Illinois ,TRI-COUNTY JAIL ,NICARAGUA ,Male ,23-Aug-12,13-Nov-12,Transferred
94506,Illinois ,CHICAGO HOLD ROOM ,NICARAGUA ,Male ,13-Nov-12,13-Nov-12,Transferred
94506,Illinois ,MCHENRY COUNTY SHERIFF'S ,NICARAGUA ,Male ,13-Nov-12,16-Nov-12,Transferred
94506,Illinois ,CHICAGO HOLD ROOM ,NICARAGUA ,Male ,16-Nov-12,16-Nov-12,Transferred
94506,Illinois ,MCHENRY COUNTY SHERIFF'S ,NICARAGUA ,Male ,16-Nov-12,14-Dec-12,Transferred
94506,Louisiana ,JENA/LASALLE DETENTION FACILITY ,NICARAGUA ,Male ,14-Dec-12,17-Dec-12,Transferred
94506,Texas ,EL PASO SPC ,NICARAGUA ,Male ,17-Dec-12,19-Dec-12,Removed
94596,Illinois ,TRI-COUNTY JAIL ,MEXICO ,Male ,14-Nov-12,15-Nov-12,Transferred
94596,Illinois ,BROADVIEW SERVICE STAGING ,MEXICO ,Male ,15-Nov-12,15-Nov-12,Transferred
94596,Illinois ,MCHENRY COUNTY SHERIFF'S ,MEXICO ,Male ,15-Nov-12,4-Dec-12,Removed
95261,Illinois ,BROADVIEW SERVICE STAGING ,MEXICO ,Male ,29-Nov-12,29-Nov-12,Transferred
95261,Illinois ,TRI-COUNTY JAIL ,MEXICO ,Male ,29-Nov-12,7-Dec-12,Order of supervision
95276,Illinois ,TRI-COUNTY JAIL ,MEXICO ,Male ,23-Nov-12,27-Nov-12,Transferred
95276,Illinois ,CHICAGO HOLD ROOM ,MEXICO ,Male ,27-Nov-12,27-Nov-12,Transferred
